ordinal,world_id,family,seed,arm,n,status,complete,public_accepted,objective_success,output_at_cap,validation_stage,citations_origin,model_citation_selection_measured,max_new_tokens,model_calls,tool_calls,known_tokens,input_tokens,output_tokens,control_operations,call_units,unknown_tokens,unknown_calls,verification_operations,preparation_tools,event_bytes,model_prompt_bytes,materialized_bytes,coordination_request_bytes,elapsed_ns,model_elapsed_ns,peak_cuda_bytes,monetary_cost,monetary_cost_status,submitted_answer_json,expected_answer_json,prompt_sha256,episode_sha256,counts_toward_verdict
10,interval_intersection/dev_b,interval_intersection,1829,envelope_1024,1,VALID_KNOWN,True,False,False,False,action_schema,model_supplied,True,1024,1,4,1454,639,815,40,45,0,0,4,3,17247,2522,3222,559,27058800526,25900132474,6373025792,,not_measured_local_inference,,"{""selection"":3}",743cd25662f2e1afc8b5c8657df67500c9a76072a0f4ba185297081dec003cb6,6fe69b7e3c9f7d34b5b99fbf15f781c0b0656f1652f7a6b36072552637ac20c6,False
11,interval_intersection/dev_b,interval_intersection,1829,direct_json_256,1,VALID_KNOWN,True,False,False,False,action_schema,runtime_supplied,False,256,1,4,162,152,10,40,45,0,0,4,3,17247,760,3222,559,1556417177,346995414,6315980800,,not_measured_local_inference,,"{""selection"":3}",1b831aeb8f7d7157b068653bd84e67816905b90cb037610180bbeb82cdc22aa2,798af8df6ac11d86a8b1cd5186994896560ec8eaf525cce1ac3a652627582987,False
12,interval_intersection/dev_b,interval_intersection,2818,envelope_256,1,VALID_KNOWN,True,False,False,True,transport_format,model_supplied,True,256,1,4,895,639,256,40,45,0,0,4,3,17244,2522,3222,559,9066518689,7856286455,6373025792,,not_measured_local_inference,,"{""selection"":3}",743cd25662f2e1afc8b5c8657df67500c9a76072a0f4ba185297081dec003cb6,1b40c866dee4edb4a7a2874957049cb992d4dea2ce720557fa47c768d713f302,False
13,interval_intersection/dev_b,interval_intersection,2818,envelope_1024,1,VALID_KNOWN,True,False,False,False,action_schema,model_supplied,True,1024,1,4,1512,639,873,40,45,0,0,4,3,17247,2522,3222,559,28527723102,27362026635,6373025792,,not_measured_local_inference,,"{""selection"":3}",743cd25662f2e1afc8b5c8657df67500c9a76072a0f4ba185297081dec003cb6,941be668ca469705a8253ca0a4b73e60b64b9fc935b5c2f5429e3e2d84418d07,False
14,interval_intersection/dev_b,interval_intersection,2818,direct_json_256,1,VALID_KNOWN,True,False,False,False,action_schema,runtime_supplied,False,256,1,4,166,152,14,40,45,0,0,4,3,17247,760,3222,559,1593086509,416020457,6315980800,,not_measured_local_inference,,"{""selection"":3}",1b831aeb8f7d7157b068653bd84e67816905b90cb037610180bbeb82cdc22aa2,78c6d10754c777b95732db399b1440b9e7271de9e15ee355eb528e148026967d,False
15,interval_intersection/dev_b,interval_intersection,2818,compact_action_256,1,VALID_KNOWN,True,False,False,False,action_schema,model_supplied,True,256,1,4,246,208,38,40,45,0,0,4,3,17250,1041,3222,559,2319985699,1126870196,6320148992,,not_measured_local_inference,,"{""selection"":3}",40be279623834f37d8b7f1ea681351cb2760fbbabe4e0b7c1eadaf005e1d28fc,96c27faa0edf08602a7a80166af3724e7361a9601dcafc16eb98e1da05f2ee38,False
16,dependency_readiness/dev_a,dependency_readiness,1929,envelope_256,1,VALID_KNOWN,True,False,False,True,transport_format,model_supplied,True,256,1,3,818,562,256,31,35,0,0,3,2,13110,2310,2283,382,8954318403,8124645990,6362652672,,not_measured_local_inference,,"{""ready"":[""cobalt""]}",7ed8ae0fb0c7728503880eef47f02b491933c850058eb27a08f5973d6bdb4494,084c432b7535f4dfc60bc632d6dd25faf371d12d819a2ccd54b935a7fcea361d,False
17,dependency_readiness/dev_a,dependency_readiness,1929,envelope_1024,1,VALID_KNOWN,True,False,False,False,action_schema,model_supplied,True,1024,1,3,1299,562,737,31,35,0,0,3,2,13113,2310,2283,382,24867829889,23984111285,6362652672,,not_measured_local_inference,,"{""ready"":[""cobalt""]}",7ed8ae0fb0c7728503880eef47f02b491933c850058eb27a08f5973d6bdb4494,d19f04239b57511a170be3fdfe166e9b9c31918c082167479b42792ee68800ad,False
18,dependency_readiness/dev_a,dependency_readiness,1929,direct_json_256,1,VALID_KNOWN,True,True,True,False,accepted,runtime_supplied,False,256,1,3,189,178,11,31,35,0,0,3,2,13113,877,2283,382,1280500317,388068498,6317378560,,not_measured_local_inference,"{""ready"":[""cobalt""]}","{""ready"":[""cobalt""]}",960d61645310d03ff87911e87a99a69a5fcfdb3cc9cb40d4a769e2fa83fecc14,b72efe6b31b8bcc79d3039ca6bcce3cf7616b11d975bb5ce4e3eae770b467a98,False
19,dependency_readiness/dev_a,dependency_readiness,1929,compact_action_256,1,VALID_KNOWN,True,False,False,False,action_schema,model_supplied,True,256,1,3,285,223,62,31,35,0,0,3,2,13116,1114,2283,382,2881527819,1984350697,6321946624,,not_measured_local_inference,,"{""ready"":[""cobalt""]}",7963ae0947ce8268e9271d19175eec73bbc7d953ada007f29a6b7869b6c97bc5,765fa1e8d2435e07fda39e37e91648a7d1853e9318bc0a7d216805f246be1305,False
20,dependency_readiness/dev_a,dependency_readiness,2918,envelope_1024,1,VALID_KNOWN,True,False,False,False,action_schema,model_supplied,True,1024,1,3,1271,562,709,31,35,0,0,3,2,13113,2310,2283,382,23143075648,22268291418,6362652672,,not_measured_local_inference,,"{""ready"":[""cobalt""]}",7ed8ae0fb0c7728503880eef47f02b491933c850058eb27a08f5973d6bdb4494,57e6a1d197889c158a3d3fd809fb1a80845e175d1b2c3e865082f3fcbeac7791,False
21,dependency_readiness/dev_a,dependency_readiness,2918,direct_json_256,1,VALID_KNOWN,True,False,False,False,action_schema,runtime_supplied,False,256,1,3,193,178,15,31,35,0,0,3,2,13113,877,2283,382,1410219686,487095093,6317378560,,not_measured_local_inference,,"{""ready"":[""cobalt""]}",960d61645310d03ff87911e87a99a69a5fcfdb3cc9cb40d4a769e2fa83fecc14,528aca59abd4b6644ce58e3d7750423b650b6f1b48a2977b6ed2b6d636239354,False
22,dependency_readiness/dev_a,dependency_readiness,2918,compact_action_256,1,VALID_KNOWN,True,False,False,False,action_schema,model_supplied,True,256,1,3,262,223,39,31,35,0,0,3,2,13116,1114,2283,382,2262651181,1373057809,6321946624,,not_measured_local_inference,,"{""ready"":[""cobalt""]}",7963ae0947ce8268e9271d19175eec73bbc7d953ada007f29a6b7869b6c97bc5,dcc01c3443bce43da55ecc09019e09c6ad275a6209c9a283793f411d491d974d,False
23,dependency_readiness/dev_a,dependency_readiness,2918,envelope_256,1,VALID_KNOWN,True,False,False,True,transport_format,model_supplied,True,256,1,3,818,562,256,31,35,0,0,3,2,13110,2310,2283,382,9008480190,8124705600,6362652672,,not_measured_local_inference,,"{""ready"":[""cobalt""]}",7ed8ae0fb0c7728503880eef47f02b491933c850058eb27a08f5973d6bdb4494,24e9b056a38038a7543e36c3222f16806c5a2fad43f120216a61c1e1d8b3131c,False
24,dependency_readiness/dev_b,dependency_readiness,2029,envelope_1024,1,VALID_KNOWN,True,False,False,False,action_schema,model_supplied,True,1024,1,3,1233,549,684,31,35,0,0,3,2,13113,2284,2262,382,22950973846,22034796811,6361381888,,not_measured_local_inference,,"{""ready"":[""flint""]}",9fa2c771bbac27fdfaf0fda17f5fca3c0539b06f26f5f26d47433604d625e8bd,ed54f7697881fb8fcc27c39099ab67decb9d936eb48627faa0453810d14201c9,False
25,dependency_readiness/dev_b,dependency_readiness,2029,direct_json_256,1,VALID_KNOWN,True,False,False,False,action_schema,runtime_supplied,False,256,1,3,180,169,11,31,35,0,0,3,2,13113,851,2262,382,1287714550,337726472,6316895232,,not_measured_local_inference,,"{""ready"":[""flint""]}",1758504b00897081d195ff319a2cd1a83fb8b93602e3c12be52a71013602a35e,95cba8bdae14d129a38e453a377d287e16c330b288ee97d70f68b947dd23ad7b,False
26,dependency_readiness/dev_b,dependency_readiness,2029,compact_action_256,1,VALID_KNOWN,True,False,False,False,action_schema,model_supplied,True,256,1,3,253,214,39,31,35,0,0,3,2,13116,1088,2262,382,2195554495,1308875527,6320867840,,not_measured_local_inference,,"{""ready"":[""flint""]}",e1b2ee1cfefbedf2b07e6a9d0d3773396ede6dd4b1584efd8c75cae4d1a680f9,2228878f7501e5261455278a9717db6939f18d48487a396408c0f8a61b25f0a1,False
27,dependency_readiness/dev_b,dependency_readiness,2029,envelope_256,1,VALID_KNOWN,True,False,False,True,transport_format,model_supplied,True,256,1,3,805,549,256,31,35,0,0,3,2,13110,2284,2262,382,9500684086,8608024488,6361381888,,not_measured_local_inference,,"{""ready"":[""flint""]}",9fa2c771bbac27fdfaf0fda17f5fca3c0539b06f26f5f26d47433604d625e8bd,e40b03218b038b0fb510b3fea42d36970feef2455d27460f3047e97d12a8fcbf,False
28,dependency_readiness/dev_b,dependency_readiness,3018,direct_json_256,1,VALID_KNOWN,True,True,True,False,accepted,runtime_supplied,False,256,1,3,184,169,15,31,35,0,0,3,2,13113,851,2262,382,1406188283,462238876,6316895232,,not_measured_local_inference,"{""ready"":[""flint""]}","{""ready"":[""flint""]}",1758504b00897081d195ff319a2cd1a83fb8b93602e3c12be52a71013602a35e,7242f6cba3e1ca8b51993934dc92c1bf1e03683c9a96ccafd25e5f6c236396a5,False
29,dependency_readiness/dev_b,dependency_readiness,3018,compact_action_256,1,VALID_KNOWN,True,False,False,False,action_schema,model_supplied,True,256,1,3,276,214,62,31,35,0,0,3,2,13116,1088,2262,382,3096799838,2185254501,6320867840,,not_measured_local_inference,,"{""ready"":[""flint""]}",e1b2ee1cfefbedf2b07e6a9d0d3773396ede6dd4b1584efd8c75cae4d1a680f9,6812b3d361f9fbc93d03367f81cb848796d31e386f335f5b0a79d3b8c78126de,False
30,dependency_readiness/dev_b,dependency_readiness,3018,envelope_256,1,VALID_KNOWN,True,False,False,True,transport_format,model_supplied,True,256,1,3,805,549,256,31,35,0,0,3,2,13110,2284,2262,382,8838956081,7936152641,6361381888,,not_measured_local_inference,,"{""ready"":[""flint""]}",9fa2c771bbac27fdfaf0fda17f5fca3c0539b06f26f5f26d47433604d625e8bd,5a88ed3ff5f91c75fb9cc03c6eb7ddde6eba0fdb4dea618c1d7815b41cbec339,False
31,dependency_readiness/dev_b,dependency_readiness,3018,envelope_1024,1,VALID_KNOWN,True,False,False,False,action_schema,model_supplied,True,1024,1,3,1271,549,722,31,35,0,0,3,2,13113,2284,2262,382,26261775692,25335541814,6361381888,,not_measured_local_inference,,"{""ready"":[""flint""]}",9fa2c771bbac27fdfaf0fda17f5fca3c0539b06f26f5f26d47433604d625e8bd,04224d3a6790f3c159785a966293166f73cb78513976665d7852f94eb78104dc,False
32,inventory_reconciliation/dev_a,inventory_reconciliation,2129,direct_json_256,1,VALID_KNOWN,True,True,True,False,accepted,runtime_supplied,False,256,1,4,291,261,30,40,45,0,0,4,3,17381,1172,3527,570,2167845229,956971809,6329435648,,not_measured_local_inference,"{""totals"":{""copper"":5,""zinc"":7}}","{""totals"":{""copper"":5,""zinc"":7}}",ea7d238739d04e53b6358a562edebb7d773d7951feb231bc043b58909f334894,60142e76d1014e1dabf10a39c78abad948e7381ae19da992b0dfdec30751e056,False
33,inventory_reconciliation/dev_a,inventory_reconciliation,2129,compact_action_256,1,VALID_KNOWN,True,False,False,False,action_schema,model_supplied,True,256,1,4,412,318,94,40,45,0,0,4,3,17384,1464,3527,570,4035705218,2853236057,6334581760,,not_measured_local_inference,,"{""totals"":{""copper"":5,""zinc"":7}}",0d453afd23eadb4560cf809dfd3643e290bfe9bb0dd9f910cbe5e950c9bc09fb,5b7f4f1f8d48be4c82ebc7893c7723837760f7cc3a0483c0db55950183be6916,False
34,inventory_reconciliation/dev_a,inventory_reconciliation,2129,envelope_256,1,VALID_KNOWN,True,False,False,True,transport_format,model_supplied,True,256,1,4,1010,754,256,40,45,0,0,4,3,17380,2968,3527,570,9405159474,8219360023,6385938944,,not_measured_local_inference,,"{""totals"":{""copper"":5,""zinc"":7}}",e3cd955e4ec42346bb05d00d35dce3732ada0585c04851e689aa8f856c61f1c9,b65dc4acae370b9234582e6763edb9891c76f1753edd0b8ccb9586d6e170bd2c,False
35,inventory_reconciliation/dev_a,inventory_reconciliation,2129,envelope_1024,1,VALID_KNOWN,True,False,False,True,transport_format,model_supplied,True,1024,1,4,1778,754,1024,40,45,0,0,4,3,17381,2968,3527,570,33254059456,31984202351,6385938944,,not_measured_local_inference,,"{""totals"":{""copper"":5,""zinc"":7}}",e3cd955e4ec42346bb05d00d35dce3732ada0585c04851e689aa8f856c61f1c9,29c868f9fe453981fc7dedc252a95d9480d7857a9c1fc7b634b9e77f62432d84,False
36,inventory_reconciliation/dev_a,inventory_reconciliation,3118,compact_action_256,1,VALID_KNOWN,True,False,False,False,action_schema,model_supplied,True,256,1,4,412,318,94,40,45,0,0,4,3,17384,1464,3527,570,4177002102,2928594855,6334581760,,not_measured_local_inference,,"{""totals"":{""copper"":5,""zinc"":7}}",0d453afd23eadb4560cf809dfd3643e290bfe9bb0dd9f910cbe5e950c9bc09fb,16987633a298365d511954596b09663fd2e0bb11218430dd78bc25731241a1ce,False
37,inventory_reconciliation/dev_a,inventory_reconciliation,3118,envelope_256,1,VALID_KNOWN,True,False,False,True,transport_format,model_supplied,True,256,1,4,1010,754,256,40,45,0,0,4,3,17380,2968,3527,570,10655205563,9419851052,6385938944,,not_measured_local_inference,,"{""totals"":{""copper"":5,""zinc"":7}}",e3cd955e4ec42346bb05d00d35dce3732ada0585c04851e689aa8f856c61f1c9,aa5851059bb2a231e98fd821003300b5d59ccc8608c1536ff119906620e701fd,False
38,inventory_reconciliation/dev_a,inventory_reconciliation,3118,envelope_1024,1,VALID_KNOWN,True,False,False,True,transport_format,model_supplied,True,1024,1,4,1778,754,1024,40,45,0,0,4,3,17381,2968,3527,570,36706807348,35476232405,6385938944,,not_measured_local_inference,,"{""totals"":{""copper"":5,""zinc"":7}}",e3cd955e4ec42346bb05d00d35dce3732ada0585c04851e689aa8f856c61f1c9,0fcfc7bcb674ae2aff9c8f2ae85b6ef7ae51bb95c98e6948acaba43899c75b9f,False
39,inventory_reconciliation/dev_a,inventory_reconciliation,3118,direct_json_256,1,VALID_KNOWN,True,False,False,False,action_schema,runtime_supplied,False,256,1,4,280,261,19,40,45,0,0,4,3,17381,1172,3527,570,2010804286,735831631,6329435648,,not_measured_local_inference,,"{""totals"":{""copper"":5,""zinc"":7}}",ea7d238739d04e53b6358a562edebb7d773d7951feb231bc043b58909f334894,cc464b75305082899e8db078d41015b959f953d4df5b692f3573139efc35dc27,False
40,inventory_reconciliation/dev_b,inventory_reconciliation,2229,compact_action_256,1,VALID_KNOWN,True,False,False,False,action_schema,model_supplied,True,256,1,4,407,317,90,40,45,0,0,4,3,17384,1465,3527,570,3956064963,2727699800,6334531072,,not_measured_local_inference,,"{""totals"":{""nickel"":13,""tin"":7}}",fa290751b0a1e27e5ce26dd6ae0ff0057255b3f2b76d81d9eabf8af472057034,41e8a36e35b94e8814040997d520a68ca56b9b77c3a1c3435cab5c04aaab6dcd,False
41,inventory_reconciliation/dev_b,inventory_reconciliation,2229,envelope_256,1,VALID_KNOWN,True,False,False,True,transport_format,model_supplied,True,256,1,4,1008,752,256,40,45,0,0,4,3,17380,2969,3527,570,9403258452,8202399382,6385787392,,not_measured_local_inference,,"{""totals"":{""nickel"":13,""tin"":7}}",a635672a38a93403ba8a60532eac1dd62d535ba9d9e5f662e5b3bf29bbe7abc0,c8c90f50b76eb5e66f318a9a31db25c8765a6247360998491297fbcdf23c2e88,False
42,inventory_reconciliation/dev_b,inventory_reconciliation,2229,envelope_1024,1,VALID_KNOWN,True,False,False,True,transport_format,model_supplied,True,1024,1,4,1776,752,1024,40,45,0,0,4,3,17381,2969,3527,570,35655753298,34442784921,6385787392,,not_measured_local_inference,,"{""totals"":{""nickel"":13,""tin"":7}}",a635672a38a93403ba8a60532eac1dd62d535ba9d9e5f662e5b3bf29bbe7abc0,9723c0caae093b96954788a81ff09aef0d66a055c5cc7fb0d3edec8b732b85c7,False
43,inventory_reconciliation/dev_b,inventory_reconciliation,2229,direct_json_256,1,VALID_KNOWN,True,False,False,False,transport_format,runtime_supplied,False,256,1,4,299,260,39,40,45,0,0,4,3,17381,1173,3527,570,2624468652,1313285386,6329383936,,not_measured_local_inference,,"{""totals"":{""nickel"":13,""tin"":7}}",a3d9b7a4e44def19901ebb51a5dbd62606f70458ef9696b021854a07eb69ef22,cdbee037056fa986ffd191a555f2a5a97b77c19570f2415dc8f15d41e636eb26,False
44,inventory_reconciliation/dev_b,inventory_reconciliation,3218,envelope_256,1,VALID_KNOWN,True,False,False,True,transport_format,model_supplied,True,256,1,4,1008,752,256,40,45,0,0,4,3,17380,2969,3527,570,9578678457,8426473079,6385787392,,not_measured_local_inference,,"{""totals"":{""nickel"":13,""tin"":7}}",a635672a38a93403ba8a60532eac1dd62d535ba9d9e5f662e5b3bf29bbe7abc0,6cc50450669de70b231fcc9ab0b6dea76edbe8088a0891568f70ad88c523fb6d,False
45,inventory_reconciliation/dev_b,inventory_reconciliation,3218,envelope_1024,1,VALID_KNOWN,True,False,False,True,transport_format,model_supplied,True,1024,1,4,1776,752,1024,40,45,0,0,4,3,17381,2969,3527,570,32791124011,31606459472,6385787392,,not_measured_local_inference,,"{""totals"":{""nickel"":13,""tin"":7}}",a635672a38a93403ba8a60532eac1dd62d535ba9d9e5f662e5b3bf29bbe7abc0,fe51fac6f3db13c57ba22f4a22f44d17e8ef3253cb88deaa1219699a2f712973,False
46,inventory_reconciliation/dev_b,inventory_reconciliation,3218,direct_json_256,1,VALID_KNOWN,True,True,True,False,accepted,runtime_supplied,False,256,1,4,286,260,26,40,45,0,0,4,3,17381,1173,3527,570,2013894896,781275887,6329383936,,not_measured_local_inference,"{""totals"":{""nickel"":13,""tin"":7}}","{""totals"":{""nickel"":13,""tin"":7}}",a3d9b7a4e44def19901ebb51a5dbd62606f70458ef9696b021854a07eb69ef22,e876505b3359ed81cfee2f5d119b1ce1b057f136e526edb5b5772fce2ef488e3,False
47,inventory_reconciliation/dev_b,inventory_reconciliation,3218,compact_action_256,1,VALID_KNOWN,True,False,False,False,action_schema,model_supplied,True,256,1,4,379,317,62,40,45,0,0,4,3,17384,1465,3527,570,3129092556,1939240104,6334531072,,not_measured_local_inference,,"{""totals"":{""nickel"":13,""tin"":7}}",fa290751b0a1e27e5ce26dd6ae0ff0057255b3f2b76d81d9eabf8af472057034,48258b1f479e2b9b96fe2e393ce39fca2cf003f11f072e0d9661d925efc75215,False
48,version_correction/dev_a,version_correction,2329,envelope_256,1,VALID_KNOWN,True,False,False,True,transport_format,model_supplied,True,256,1,2,637,381,256,22,25,0,0,2,1,8780,1695,1101,189,8633981471,7994338948,6340881408,,not_measured_local_inference,,"{""value"":11}",34c3b0c7f56c1fff6a6427a36f0b12bb5ba591de4cb1d3c8a3dbe6cd9f62107a,35f23cd806c7e9508f6c190b01c7bf686b18435ca3fa726b623b8c0286c9add2,False
49,version_correction/dev_a,version_correction,2329,envelope_1024,1,VALID_KNOWN,True,False,False,False,action_schema,model_supplied,True,1024,1,2,849,381,468,22,25,0,0,2,1,8782,1695,1101,189,15134120509,14462055632,6340881408,,not_measured_local_inference,,"{""value"":11}",34c3b0c7f56c1fff6a6427a36f0b12bb5ba591de4cb1d3c8a3dbe6cd9f62107a,477039180318b54623f9045683f53509ff027826de6b7fa8a83623050d7ae032,False
50,version_correction/dev_a,version_correction,2329,direct_json_256,1,VALID_KNOWN,True,False,False,False,action_schema,runtime_supplied,False,256,1,2,133,122,11,22,25,0,0,2,1,8783,626,1101,189,1045583178,412613235,6309840384,,not_measured_local_inference,,"{""value"":11}",fe94d07413a6ed553e8f2dca55b3d269cb12aa1af28657834f97d922a21d4bae,3a79188dd4785c04b7028e086c20cea322d8d511d1b7a9569408c695d33fd7e0,False
51,version_correction/dev_a,version_correction,2329,compact_action_256,1,VALID_KNOWN,True,False,False,False,action_schema,model_supplied,True,256,1,2,187,156,31,22,25,0,0,2,1,8786,803,1101,189,1590433437,953838689,6316195840,,not_measured_local_inference,,"{""value"":11}",1f6d526f003ded1fe31150ce33c4b872b517cc65070c0a1aac062a60f86a3eb0,a1093b665ba7228c3e95677a728095cfe940d1e4e026be9a384fcc1f8b18f02f,False
52,version_correction/dev_a,version_correction,3318,envelope_1024,1,VALID_KNOWN,True,False,False,False,action_schema,model_supplied,True,1024,1,2,854,381,473,22,25,0,0,2,1,8782,1695,1101,189,15969782410,15342864951,6340881408,,not_measured_local_inference,,"{""value"":11}",34c3b0c7f56c1fff6a6427a36f0b12bb5ba591de4cb1d3c8a3dbe6cd9f62107a,f41bc426612eb0f8b13f591cbe77b81372ca6b74949d340a90a497fd2625185c,False
53,version_correction/dev_a,version_correction,3318,direct_json_256,1,VALID_KNOWN,True,True,True,False,accepted,runtime_supplied,False,256,1,2,137,122,15,22,25,0,0,2,1,8783,626,1101,189,1066360894,437133053,6309840384,,not_measured_local_inference,"{""value"":11}","{""value"":11}",fe94d07413a6ed553e8f2dca55b3d269cb12aa1af28657834f97d922a21d4bae,ca9caefac65e48cbc0c74b53c994fc39536bd2e1f8f970646224a90a68ea8f15,False
54,version_correction/dev_a,version_correction,3318,compact_action_256,1,VALID_KNOWN,True,False,False,False,action_schema,model_supplied,True,256,1,2,207,156,51,22,25,0,0,2,1,8786,803,1101,189,2150946350,1525847309,6316195840,,not_measured_local_inference,,"{""value"":11}",1f6d526f003ded1fe31150ce33c4b872b517cc65070c0a1aac062a60f86a3eb0,a9e53d592d982ab7c1d4d2ced69b0a1a4333e4f15b406156add0a25e3661df20,False
55,version_correction/dev_a,version_correction,3318,envelope_256,1,VALID_KNOWN,True,False,False,True,transport_format,model_supplied,True,256,1,2,637,381,256,22,25,0,0,2,1,8780,1695,1101,189,9170402326,8555124814,6340881408,,not_measured_local_inference,,"{""value"":11}",34c3b0c7f56c1fff6a6427a36f0b12bb5ba591de4cb1d3c8a3dbe6cd9f62107a,445cc97d39538228fea7d597001a50be0ff16a10fd86e364a5caf7427367ff2b,False
56,version_correction/dev_b,version_correction,2429,envelope_1024,1,VALID_KNOWN,True,False,False,False,action_schema,model_supplied,True,1024,1,2,851,380,471,22,25,0,0,2,1,8782,1691,1098,189,16793478844,16187213967,6340761088,,not_measured_local_inference,,"{""value"":2}",398e31fd51bec7e29d54afd390716b6857b220342a0550daa3b03443dd5a372d,f7705cde49d75c66f43639e19d48a7a3b5c54d1e7ea8b9adcb8b8df6b905d35d,False
57,version_correction/dev_b,version_correction,2429,direct_json_256,1,VALID_KNOWN,True,False,False,False,action_schema,runtime_supplied,False,256,1,2,131,121,10,22,25,0,0,2,1,8783,622,1098,189,961483747,316941710,6309721088,,not_measured_local_inference,,"{""value"":2}",30901c2c5848a7d7694ffe9dcb8ce2dd68d1ccd08444115eb9b5df8138940b6e,0e82f977420e016e925fc76c5a599f6de79270c366ee177c41923e8d823ef124,False
